0,1,2,3
27242,32,15005,0.84375
525,1,15328,0.65625
9000,1,15651,0.625
194,16,19708,0.6875
44,1,19987,0.71875
10459,32,19994,0.875
46,4,20172,0.75
17217,17,20518,0.90625
24,4,20995,0.78125
37,16,21087,0.8125
8605,1,21195,0.9375
7,8,3506,0.03125
3,8,3561,0.0625
11992,8,3593,0.5
7,32,3659,0.09375
1420,1,3708,0.125
4,22,3962,0.15625
11,1,4027,0.1875
12705,4,4292,0.21875
3099,1,4334,0.75
603,4,4345,0.25
16,1,4540,0.28125
14557,4,4559,0.40625
11,4,4642,0.3125
171,16,4979,0.34375
61,1,5206,0.375
7908,32,6526,0.4375
2,2,6865,0.46875
16035,8,12107,0.90625
136,1,12136,0.625
5,1,12382,0.53125
60,1,12397,0.5625
75,1,12411,0.59375
23878,1,12438,0.71875
72,4,12443,0.65625
50,4,12869,0.6875
6,1,12905,0.78125
43,8,13257,0.8125
47,16,13312,0.84375
217,1,14977,0.9375
74,16,15024,0.875
8652,16,15199,1.0
24876,16,15221,0.96875
403,4,7230,0.53125
1784,2,7529,0.59375
3,16,8050,0.46875
7353,256,8206,1.0
33,16,8270,0.5625
26,1,8354,0.125
9041,1,8366,0.0625
56,1,8412,0.25
42,1,11212,0.4375
5818,32,11753,0.6875
22825,32,11770,0.625
66,1,11782,0.09375
11,8,12394,0.40625
16,16,13976,0.5
7,8,15330,0.21875
19,4,15493,0.3125
4,32,15516,0.03125
242,1,16815,0.28125
4,1,17016,0.375
5,4,17859,0.34375
8243,64,17876,0.75
5680,2,17897,0.15625
5,42,18366,0.1875
17713,2,20983,0.65625
9706,16,25759,0.71875
8,32,31139,0.78125
20,16,31187,0.8125
11751,128,31397,0.84375
27,1,38736,0.875
85,5,39421,0.90625
103,36,39604,0.9375
2,8,40128,0.96875
19,1,6187,0.15625
21,42,6342,0.25
10,8,6408,0.0625
16723,32,6582,0.3125
4,1,6771,0.1875
27,8,6869,0.03125
27,1,15577,0.125
15,3,15616,0.21875
10,1,16006,0.09375
15172,32,21025,0.53125
23,32,21706,0.28125
3,17,21737,0.34375
13118,1,22368,0.625
1029,8,22669,0.40625
273,16,22852,0.375
17,16,23241,0.4375
15,1,23797,0.46875
14776,128,23949,0.6875
17685,2,24153,0.59375
10739,128,24257,0.84375
606,16,25607,0.5
22,33,26078,0.5625
874,1,27388,0.65625
7,15,33114,0.71875
62,1,33636,0.75
4,2,36286,0.78125
56,8,36516,0.8125
4582,2,46056,0.96875
13,2,46979,0.875
65,28,47032,0.90625
15,16,47409,0.9375
70996,1,47446,1.0
13529,128,28885,0.9375
52,8,30132,0.09375
3,16,30217,0.0625
8313,23,30325,0.4375
73,1,30396,0.15625
1128,32,31428,0.40625
6,1,31923,0.125
9139,27,32731,0.5
88,8,33628,0.25
403,16,33834,0.28125
75,32,33959,0.34375
3180,32,34066,0.5625
15,34,34203,0.3125
12516,76,34367,0.53125
52,4,34832,0.1875
42805,32,35561,0.46875
97,111,35665,0.375
66,1,36529,0.21875
31,4,37358,0.03125
12,1,67017,0.625
52,2,67039,0.59375
2346,1,67115,0.65625
15778,256,67432,1.0
37685,16,67695,0.78125
8,1,67737,0.6875
23136,1,67774,0.8125
4,64,67815,0.71875
10832,179,67949,0.90625
12072,256,68110,0.96875
5,1,68162,0.75
5,4,68213,0.84375
17,1,68304,0.875
13972,4,7264,0.84375
8,4,7935,0.03125
42,8,7948,0.0625
65,3,8472,0.15625
6,1,8475,0.09375
13,1,8485,0.125
24,4,10406,0.1875
12186,1,10415,0.21875
13,1,10508,0.25
4896,2,300236,0.28125
624,32,300448,0.3125
541,1,300680,0.34375
436,32,303417,0.375
8,4,304566,0.40625
4946,4,306410,0.8125
4808,16,306728,0.46875
2277,2,306848,0.4375
112,32,315310,0.5
37,1,315822,0.53125
17586,1,315961,0.59375
5519,256,316045,0.5625
8,1,345966,0.625
1688,8,345990,0.65625
10988,128,346131,0.96875
352,69,346154,0.6875
4895,32,346244,0.78125
20,32,346265,0.71875
29892,193,346285,1.0
9675,16,346341,0.75
11722,1,346393,0.875
12492,1,346422,0.90625
21694,64,347670,0.9375
12009,1,18298,0.65625
19,1,19590,0.40625
16,1,19851,0.125
7,1,20038,0.09375
16424,41,20152,0.9375
13523,34,20458,0.875
44,43,21374,0.625
1109,70,21661,0.84375
358,26,22661,0.75
162,4,22894,0.46875
12599,86,23051,0.96875
8,33,23229,0.28125
71,1,25366,0.53125
141,1,25417,0.21875
3434,1,25472,0.59375
5,1,25662,0.34375
339,32,26059,0.71875
5592,8,26595,0.78125
7,8,27591,0.25
2238,1,27652,0.5625
20,1,27667,0.15625
17441,64,27715,0.90625
4,2,27753,0.03125
104,2,29176,0.4375
10,4,29417,0.1875
9,8,31229,0.375
14320,1,31255,0.3125
79,32,31259,0.6875
3609,1,31698,0.5
17262,128,31797,1.0
19,32,31875,0.0625
558,16,32200,0.8125
18186,32,25517,0.75
27277,32,25767,0.03125
49,16,27227,0.0625
17,2,27489,0.09375
9993,1,27550,0.5
13236,4,27571,0.375
22716,1,27635,0.25
6,2,27720,0.125
11,4,27774,0.15625
10,32,28285,0.1875
6,4,28513,0.21875
14708,16,29142,0.3125
2,4,29194,0.28125
21,1,29475,0.34375
62,1,33529,0.40625
9761,64,33591,0.625
20071,4,33916,0.46875
6,4,34639,0.4375
33,8,34912,0.53125
34,41,34987,0.5625
36,22,35527,0.59375
8,1,40066,0.65625
10,128,40240,0.71875
34,4,40326,0.6875
4218,2,45492,0.78125
61,1,45620,0.8125
7,2,45647,0.84375
33,64,45899,0.875
520,24,47332,0.90625
12944,15,47387,0.9375
12,16,47513,0.96875
1,1,48164,1.0
25434,128,2854,0.96875
11189,80,2988,0.9375
241,8,3231,0.625
13,4,3244,0.21875
59,64,3258,0.75
240,4,3482,0.46875
33455,7,4261,0.40625
90,16,4594,0.6875
16,32,4762,0.3125
13,32,4840,0.09375
5,12,4907,0.15625
10584,16,5022,0.84375
69,16,5128,0.65625
11376,256,6124,1.0
12,16,6135,0.0625
8,1,6202,0.125
9,26,6226,0.1875
523,1,6388,0.34375
57,32,6521,0.71875
39,8,7275,0.25
84,4,7304,0.375
25,32,7309,0.5625
5915,32,7438,0.875
18476,1,7542,0.5
650,32,7650,0.78125
320,12,7686,0.8125
35,32,7830,0.53125
22,2,8003,0.28125
3638,4,8070,0.59375
8,2,8119,0.03125
528,1,8151,0.4375
15204,18,8216,0.90625
6,9,10837,0.03125
157,21,10902,0.0625
165,2,10991,0.09375
152,1,11007,0.53125
21,16,11865,0.125
5842,4,11909,0.28125
24131,32,11925,0.3125
17,1,12037,0.15625
5271,256,12288,1.0
13,6,12319,0.25
10,8,12343,0.1875
11,1,12357,0.21875
178,6,12552,0.34375
728,6,12853,0.375
77,2,12915,0.40625
4,2,12922,0.4375
10321,64,13420,0.46875
5087,3,13462,0.5
21,1,13797,0.5625
3,1,14085,0.59375
28708,32,14112,0.625
48,4,14815,0.65625
45,1,14866,0.6875
6,1,15234,0.71875
20922,4,15250,0.75
8,4,15525,0.78125
259,34,15546,0.8125
4920,32,15639,0.9375
5339,8,15884,0.90625
9,16,15995,0.84375
24,43,16004,0.875
30,16,16013,0.96875
14238,32,2264,0.875
41597,181,2343,1.0
6,4,2346,0.03125
8143,64,2365,0.96875
28,32,2754,0.0625
6,32,2864,0.09375
22,1,2870,0.125
6533,1,2970,0.15625
96,1,5575,0.1875
14,8,5611,0.21875
26960,1,7720,0.3125
21,1,7853,0.25
11,16,7991,0.28125
85,19,8009,0.34375
19,1,8053,0.375
8277,32,8830,0.46875
395,32,8894,0.625
54,16,9321,0.40625
183,1,9492,0.4375
11017,64,9609,0.5
7120,97,9952,0.90625
10,16,9968,0.53125
2402,32,9988,0.59375
5,1,10035,0.5625
5,28,10283,0.65625
17382,1,10373,0.75
32,16,10399,0.6875
8468,16,10432,0.8125
5,1,10457,0.71875
1357,16,10467,0.78125
14437,1,10572,0.84375
6077,128,10729,0.9375
11,32,5454,0.21875
57,4,5550,0.375
37,32,5587,0.46875
26,8,5602,0.3125
14635,16,5710,0.875
7415,64,5734,1.0
2,3,6021,0.09375
278,32,6049,0.71875
107,1,8236,0.625
9590,8,8299,0.75
61,7,8361,0.34375
218,1,8413,0.53125
10,9,8452,0.0625
9270,16,8471,0.8125
12066,32,8966,0.9375
7351,8,8975,0.6875
38,2,9070,0.15625
11251,7,9388,0.65625
19,32,10175,0.25
17441,6,10226,0.78125
40254,16,10928,0.96875
15173,31,10958,0.90625
43,1,11034,0.28125
138,8,11129,0.5
10,16,11140,0.1875
171,8,12304,0.5625
5924,41,12410,0.84375
110,4,12482,0.4375
114,8,12532,0.59375
31,1,12547,0.125
6,16,16210,0.03125
236,1,16385,0.40625
32,1,2789,0.21875
26,9,2876,0.15625
234,1,2902,0.59375
9,8,2914,0.09375
34,2,2943,0.46875
47,28,2972,0.78125
29,1,2990,0.5
35,1,2994,0.53125
22131,16,3024,1.0
