2,[1.0000000687381108, 1.0000003845348913, 1.0000007016175474, 1.0000009714029523, 1.000001195608339],[('p4', 'r4q'), ('p4', 'r3q'), ('r4', 'p4q'), ('p4q', 'r4q'), ('p4', 'r4')]
2,[1.0000000687381108, 1.0000003845348913, 1.0000007016175474, 1.0000009714029523, 1.000001195608339],[('p4', 'r4q'), ('p4', 'r3q'), ('r4', 'p4q'), ('p4q', 'r4q'), ('p4', 'r4')]
2,[1.0000000687381108, 1.0000003845348913, 1.0000007016175474, 1.0000009714029523, 1.000001195608339],[('p4', 'r4q'), ('p4', 'r3q'), ('r4', 'p4q'), ('p4q', 'r4q'), ('p4', 'r4')]
2,[1.0000000687381108, 1.0000003845348913, 1.0000007016175474, 1.0000009714029523, 1.000001195608339],[('p4', 'r4q'), ('p4', 'r3q'), ('r4', 'p4q'), ('p4q', 'r4q'), ('p4', 'r4')]
3,[1.0003153515821601, 1.0003947578512513, 1.0004074078936562, 1.0004750801006355, 1.0004796715280073],[('r4', 'q4p', 'p4r'), ('r4', 'q3p', 'p4r'), ('p4', 'r4', 'q4p'), ('p4', 'q4', 'r4'), ('p4', 'q4p', 'r4p')]
3,[1.0003153515821601, 1.0003947578512513, 1.0004074078936562, 1.0004750801006355, 1.0004796715280073, 1.0005403866829419, 1.0006459700614874, 1.0007519098072788, 1.000994363901229, 1.0009956317557047],[('r4', 'q4p', 'p4r'), ('r4', 'q3p', 'p4r'), ('p4', 'r4', 'q4p'), ('p4', 'q4', 'r4'), ('p4', 'q4p', 'r4p'), ('p4', 'r4', 'q3p'), ('p4', 'q3p', 'r4p'), ('r4', 'q2p', 'p4r'), ('p4', 'r3p', 'q4p'), ('r4', 'p3r', 'q4p')]
3,[5.0004903738266195, 5.002237561498336, 5.002728349408568, 5.017436620569374, 5.020731261603243, 5.020940966242116, 5.032483132265798, 5.060229643573562, 5.124952820985962, 5.178453110859007],[('sqrt(q)', 'q1', 'r4'), ('sqrt(q)', 'q1', 'p3'), ('sqrt(q)', 'q1', 'r3q'), ('sqrt(q)', 'q1', 'r2p'), ('sqrt(q)', 'q1', 'r3'), ('sqrt(q)', 'q2', 'q3p'), ('q1', 'p2q', 'p3q'), ('q2', 'p2q', 'p3q'), ('q1', 'p1q', 'q4p'), ('q3', 'p1q', 'q4p')]
3,[1.0003153515821601, 1.0003947578512513, 1.0004074078936562, 1.0004750801006355, 1.0004796715280073, 1.0005403866829419, 1.0006459700614874, 1.0007519098072788, 1.000994363901229, 1.0009956317557047, 1.0011571105714707, 1.0012172551091552, 1.0018789646954167, 1.001890197000479, 1.0020398145591378, 1.002484713180795, 1.0028314044150282, 1.0042560744563713, 1.0042584803146177, 1.0045677786472833],[('r4', 'q4p', 'p4r'), ('r4', 'q3p', 'p4r'), ('p4', 'r4', 'q4p'), ('p4', 'q4', 'r4'), ('p4', 'q4p', 'r4p'), ('p4', 'r4', 'q3p'), ('p4', 'q3p', 'r4p'), ('r4', 'q2p', 'p4r'), ('p4', 'r3p', 'q4p'), ('r4', 'p3r', 'q4p'), ('q4p', 'p4r', 'r4p'), ('q3p', 'p4r', 'r4p'), ('q4', 'r4', 'p4q'), ('q4', 'p4q', 'r4p'), ('r4', 'q2p', 'p3r'), ('q4p', 'p4r', 'r4q'), ('p3r', 'q4p', 'r4q'), ('q4', 'p3r', 'r4q'), ('r3q', 'q4p', 'p4r'), ('q3p', 'r3q', 'p4r')]
3,[2.001901282759634, 2.0019110478642435, 2.003393859927557, 2.003844197085231, 2.005758213946345, 2.012606760300713, 2.0217366934478824, 2.0219194253768196, 2.026901968385891, 2.026907988208987, 2.027064269141525, 2.027093353978541, 2.02712131937109, 2.039700805597512, 2.0442774589812074, 2.0511015934498396, 2.051373727487228, 2.058019786802068, 2.0681204607188146, 2.0690988152406016],[('sqrt(q)', 'p1q', 'q1r'), ('r3', 'p1r', 'r3p'), ('p4', 'p2r', 'p4q'), ('sqrt(p)', 'p3', 'p4r'), ('q1', 'q3p', 'p4q'), ('r4', 'r3q', 'q4r'), ('p1', 'p4', 'p3r'), ('q1', 'r2q', 'q3p'), ('p4', 'p4r', 'q4r'), ('p4', 'p4r', 'r4q'), ('p4', 'q1r', 'p4r'), ('p4', 'q4p', 'p4r'), ('q2p', 'q4r', 'r4q'), ('r4', 'q3r', 'r3q'), ('p1r', 'r2q', 'q4r'), ('q4', 'p1q', 'r4q'), ('p2q', 'p3r', 'p4q'), ('q2r', 'q4p', 'r4q'), ('r2q', 'q3r', 'p4r'), ('r2q', 'q3r', 'p4q')]
3,[3.0023108033579646, 3.007004832748687, 3.0084631395318855, 3.0132238364675614, 3.0152497119476633, 3.0283432894061546, 3.029207742504206, 3.0410320140006935, 3.0413213863933706, 3.0450986677595893, 3.0519391870973793, 3.0603135212176285, 3.0699503203690304, 3.0996846538989877, 3.1389107856089637, 3.1720770335890727, 3.179981712302323, 3.2545672292660157, 3.2592344527550434, 3.2629511691303437],[('q1r', 'q4r', 'r4q'), ('sqrt(p)', 'q3', 'p1q'), ('r1', 'p1q', 'p2q'), ('q1', 'q4', 'q3r'), ('r4', 'q2r', 'r2q'), ('q3', 'q2r', 'r3q'), ('q1r', 'q3p', 'q4r'), ('q2', 'p3r', 'q4p'), ('q2', 'q4p', 'r4p'), ('q3', 'p1q', 'p3q'), ('q2', 'r3q', 'q4p'), ('r3', 'q1r', 'q4r'), ('q2p', 'r2q', 'q3r'), ('q1r', 'q4p', 'q4r'), ('q1r', 'r2q', 'q4p'), ('r2q', 'q3p', 'q3r'), ('r2q', 'q3r', 'q4p'), ('p1q', 'q2r', 'q4p'), ('q4', 'q2p', 'r4q'), ('p2q', 'r2q', 'p3q')]
3,[4.00512409229355, 4.014289277585952, 4.0166886444957814, 4.020988668476409, 4.039837919260406, 4.058102877766762, 4.112057120376289, 4.136433200632117, 4.1377938347149135, 4.139488081168848, 4.207794160139129, 4.239594516695363, 4.2606362397753195, 4.348913703922717, 4.411787350386122, 4.428162044438477, 4.4910602294410715, 4.566349638320876, 5.49346140554301, 5.566811175198938],[('q2', 'q2r', 'q3p'), ('r2p', 'r4p', 'r4q'), ('q4', 'r2q', 'q3r'), ('r2p', 'p4r', 'r4p'), ('q1r', 'r2p', 'r4p'), ('p1r', 'p2r', 'r2p'), ('q4', 'q1r', 'q3r'), ('p1q', 'q3p', 'r4q'), ('p1q', 'q3p', 'r3q'), ('p1q', 'q3p', 'r4p'), ('p1r', 'q1r', 'q3r'), ('q1r', 'r2q', 'q3r'), ('r2p', 'p3r', 'r4p'), ('p2r', 'r3p', 'p4r'), ('p1q', 'p2r', 'q3p'), ('p1q', 'q3p', 'p4q'), ('p1q', 'q1r', 'q3p'), ('p1q', 'q3p', 'q4r'), ('r2q', 'p4r', 'r4q'), ('p2r', 'r2q', 'r4q')]
