LIN,S3_V1_D3,S3_V1_D4,S3_V2_D1,S3_V2_D2,S3_V2_D3,S3_V2_D4,S3_V3_D1,S3_V3_D2,S3_V3_D3,S3_V3_D4,S3_V4_D1,S3_V4_D2,S3_V4_D3,S3_V4_D4,S3_V5_D1,S3_V5_D2,S3_V5_D3,S3_V5_D4,S3_V6_D1,S3_V6_D2,S3_V6_D3,S3_V7_D1,S3_V7_D2,S3_V7_D3,S3_V7_D4,S3_V8_D1,S3_V8_D2,S3_V8_D3,S3_V8_D4,S3_V9_D1,S3_V9_D2,S3_V9_D3,S3_V9_D4,S3_V10_D1,S3_V10_D2,S3_V10_D3,S3_V10_D4
149531.409302,538.25914,343.337973,538.25914,97711.800915,538.25914,130008.906376,129898.540853,778.001436,7519.489043,101878.515968,538.25914,538.25914,8087.803534,538.25914,17908.305117,538.25914,538.25914,538.25914,19551.514207,778.001436,64814.553499,145620.190586,17842.14904,778.001436,91703.271066,538.25914,538.25914,104273.928492,129898.540853,9491.21673,538.25914,538.25914,3151.778411,8636.417591,18258.06657,11288.469267,129898.540853
785.649974,386.007603,91.49744,386.007603,401.560966,386.007603,804.693055,474.531467,107.563413,489.899201,21731.565776,386.007603,386.007603,386.007603,386.007603,18412.972356,386.007603,386.007603,386.007603,3265.279317,102.366687,22185.411853,192.348187,3326.894329,102.366687,22123.194155,386.007603,386.007603,489.899201,474.531467,386.173037,386.007603,386.007603,1295.61712,9295.676889,3048.77286,474.366115,474.531467
12345.681566,3164.308785,200.203374,681.235237,13013.490179,22989.372103,27980.00113,992.509558,218.804417,13013.362264,10755.31095,681.363153,681.363153,681.363153,681.363153,37719.090619,681.363153,681.363153,681.363153,12369.450772,218.042564,34488.612058,81574.511319,11781.010605,218.042564,34488.717942,178.478645,681.363153,7517.633887,992.509558,176.922893,178.478645,282.851342,4498.102174,17195.857467,12369.450772,681.235237,992.509558
442.709436,60.919622,303.474535,857.204002,168.418787,60.053046,442.709436,203.056739,104.57037,168.418787,394.226539,57.308128,57.308128,64.123449,57.308128,19666.531501,57.308128,57.308128,57.308128,681.044984,70.939445,1904.061289,119.420811,775.299058,70.939445,1904.940023,66.634231,57.308128,137.984925,203.056739,223.475503,181.712753,428.982494,209.754704,13065.794903,681.044984,216.28605,203.056739
2274.577803,842.938823,104.728209,842.938823,5661.756582,842.938823,16826.395527,6600.57679,304.040046,4556.493467,53174.943835,842.938823,842.938823,16826.395527,842.938823,21929.62228,842.938823,842.938823,842.938823,13393.468956,304.038262,2856.894502,146.770737,13014.099393,304.038262,53174.943835,842.938823,842.938823,2856.894502,6600.57679,2274.577803,842.938823,458.382032,4240.900355,31797.733331,13324.363574,2915.204781,6600.57679
535.863684,553.528205,77.675074,582.983581,3135.537262,553.528205,535.863684,33594.174839,222.292454,23362.780552,61585.633883,553.528205,553.528205,553.528205,553.528205,63659.007397,553.528205,553.528205,553.528205,6900.152165,165.095337,47174.307746,7416.633002,6713.449762,165.095337,10765.987786,608.693652,553.528205,47167.361036,33594.174839,544.637088,544.969538,554.671923,1732.304155,6424.792013,6900.152165,46433.208509,33594.174839
27012.404369,746.58948,26.987773,725.834718,47579.375523,13549.269688,4715.284801,31344.913269,31.331471,3151.619055,52992.288832,726.007573,726.007573,726.007573,726.007573,19791.44477,726.007573,726.007573,726.007573,8796.205519,31.00488,7105.542104,81574.020453,8461.732148,31.00488,7105.542104,756.933806,726.007573,4319.753991,31344.913269,26795.656927,756.933806,722.884942,3156.084725,10528.511004,8796.205519,4263.733309,31344.913269
25428.208493,444.555984,904.242101,428.812596,2883.635458,439.579823,25428.208493,1199.455983,1302.552489,2883.635458,2898.006643,428.812596,428.812596,428.812596,428.812596,12800.600428,428.812596,428.812596,428.812596,4117.614169,1219.075776,26458.910633,39884.215212,4163.405381,1219.075776,26458.910633,412.107615,428.812596,921.697111,1199.455983,1199.455983,439.579823,369.822504,5546.493808,20780.343651,3745.933765,428.812596,1199.455983
38056.443373,747.417297,63.790311,747.417297,3606.628823,747.417297,36929.490785,41495.276689,87.352087,16416.769024,70860.973961,747.417297,747.417297,746.958841,747.417297,14286.179623,747.417297,747.417297,747.417297,9849.145484,97.691754,29959.788854,22821.268714,8771.549135,97.691754,60820.643519,747.417297,747.417297,72038.862201,41495.276689,2081.258429,747.417297,747.417297,3325.318556,6004.858813,10254.345823,67787.061748,41495.276689
279.494061,283.864236,199.606031,303.221728,470.188009,289.984038,279.494061,345.281082,189.91055,470.188009,642.10333,303.221728,303.221728,414.311278,303.221728,25112.940528,303.221728,303.221728,303.221728,489.337042,196.702755,641.389936,2113.071891,663.898297,196.702755,641.389936,278.959543,303.221728,470.825256,345.281082,278.959543,278.959543,300.172865,399.613743,15756.945206,489.337042,303.221728,345.281082
