FCFS,WFP3,UNICEF,SPT,SAF,F2,LIN,QDR,CUB,QUA,QUI,SEX
247.405451,110.324109,21.798481,18.174275,4.387826,3.316425,5.763305,149.947085,7.194179,28.50896,234.972916,281.005497
1473.55961,263.426359,91.845982,91.413073,41.185172,71.028725,139.590352,1116.648111,257.12538,834.368148,300.094348,526.790353
76.414151,63.901255,20.49287,25.132792,2.213894,1.926551,2.31382,5.011156,1.939648,5.43759,79.883934,77.920183
1765.820175,739.427574,478.847107,352.378452,37.403142,26.728689,19.449549,1528.563586,84.44765,891.108708,768.222363,1313.787592
378.930211,129.759941,47.899456,86.137731,4.229261,5.692676,6.322311,215.979397,49.349535,173.090357,170.801472,298.62218
1173.636099,266.862531,57.007286,37.386367,9.25151,10.465635,8.68995,714.117005,29.393756,503.170718,1163.472725,717.581845
612.952411,129.472951,93.804748,118.222453,182.310211,144.294564,123.33073,403.429313,258.263123,289.35052,640.411176,673.928305
201.037017,53.268143,19.095239,23.23594,7.52946,16.337324,11.832193,259.464797,72.326887,131.985057,120.374506,183.24498
209.267967,161.328423,121.82884,126.02436,79.544003,39.551146,6.206881,137.553521,11.266471,130.126892,131.05832,187.687356
254.906971,170.385118,155.45009,187.004828,18.528289,18.727557,23.572883,145.382412,20.955635,132.600887,79.405065,277.558912
572.635625,416.037855,60.414769,140.712573,17.046068,8.209759,10.746435,550.807,252.618732,646.706723,427.643796,574.269173
728.047267,289.2776,171.463129,158.937457,40.165989,132.104979,106.057295,690.562041,153.364664,359.409131,434.875918,771.351293
1262.609126,575.449142,165.257099,63.858163,40.63989,31.867752,188.553276,1416.93688,977.100413,1371.912168,541.530819,1099.525227
1347.420353,462.056767,171.331639,104.273639,12.823276,18.431611,40.835822,1041.816724,321.887124,670.868576,1004.074754,1147.418975
1971.354955,1680.867238,546.30815,330.69053,91.159812,144.000771,1026.048794,2616.861766,1310.674673,2554.671017,1435.84343,2371.367073
472.033429,247.169113,54.35333,34.233443,69.538629,36.605496,41.119352,337.449416,26.158233,784.109759,51.366712,352.479132
338.253094,211.857169,78.295664,49.680522,6.3996,8.008847,6.842378,335.936723,43.186891,346.750527,109.122219,341.6042
4333.423887,4237.001111,740.04695,1350.355078,36.637874,37.303931,70.785484,3311.264874,528.190834,2491.734294,2412.945773,3921.659069
594.996863,306.772484,79.032305,116.795485,36.233828,12.060453,16.407565,307.835877,112.922014,273.672374,371.563165,405.091177
2029.643622,1111.691753,430.071486,841.259771,173.467927,167.792235,152.691801,1849.905836,163.578623,1523.285277,1172.609794,1864.405701
1846.65775,716.637729,126.941959,148.757326,10.33883,8.288133,12.361644,979.999695,35.125156,399.894842,1248.755857,1225.266728
1676.550709,635.243696,250.310723,163.135463,48.664148,20.511226,568.521901,1413.636425,614.932585,1337.128797,344.557965,1512.179667
2507.379773,1107.932004,298.896678,125.199467,6.991617,24.078437,39.39007,2080.942851,1329.475608,1899.265389,1706.155955,1981.097221
