SER_1_1,SER_1_2,SER_1_3,SER_2_1,SER_2_2,SER_2_3,SER_3_1,SER_3_2,SER_3_3,SER_4_1,SER_4_2,SER_4_3,SER_5_1,SER_5_2,SER_5_3,SER_6_1,SER_6_2,SER_6_3,SER_7_1,SER_7_2,SER_7_3,SER_8_1,SER_8_2,SER_8_3,SER_9_1,SER_9_2,SER_9_3,SER_10_1,SER_10_2,SER_10_3
13.868859,9.345447,8.068569,1.944511,32.337587,8.068569,44.522162,70.061559,4.96789,1.700152,2.51265,8.068569,8.995551,3.489339,11.254342,2.040503,2.326005,5.495857,8.852246,19.092826,3.917237,61.868064,7.991733,4.495547,7.302045,26.536689,5.306536,18.424631,3.1527,2.192967
47.669759,19.208752,10.71318,7.836494,802.957687,10.71318,426.266572,759.738382,6.95938,5.765982,6.906379,10.71318,10.885182,25.574523,43.990374,6.214451,13.283456,7.754872,12.036233,360.706758,8.588871,548.649322,24.17016,8.570666,10.985126,58.607162,83.256526,192.205239,23.790835,8.922698
31.772971,26.299182,4.023162,4.855329,193.841895,4.023162,90.917723,318.985814,5.901763,3.179538,3.915953,4.023162,4.214013,5.559759,17.178288,4.469621,4.882924,2.725651,4.899023,30.110633,2.811423,208.312335,7.033609,3.532429,4.188202,50.059565,45.065013,90.477105,7.510437,2.181576
35.460737,16.810977,14.112821,4.551143,66.821206,14.112821,31.938189,65.492553,6.592832,3.777808,5.157931,14.112821,10.239923,15.40371,45.165804,5.66182,5.42023,12.339551,15.364097,15.731852,12.321336,63.358859,16.763534,6.835004,14.244083,29.498446,7.082641,41.402988,15.165845,3.73457
42.795142,38.762518,8.145984,2.679056,56.262395,8.145984,76.373945,249.947833,4.246721,2.518946,2.573745,8.145984,8.324103,9.9229,37.078913,4.760585,3.161479,7.362349,6.990711,59.249035,4.36192,94.667814,6.378391,7.362785,6.61392,52.595411,52.558128,88.674258,11.816627,3.572931
32.539869,19.77102,12.378626,4.540679,100.093928,12.378626,60.975163,208.592331,5.473466,6.055392,4.311546,12.378626,15.764444,12.53907,50.0605,8.494079,10.433926,12.28713,16.844474,59.789642,19.253056,240.461871,15.156381,12.877107,17.103536,110.685007,62.000368,77.216026,67.20587,6.532826
26.085472,16.511268,3.79503,3.693384,41.318245,3.79503,36.766419,68.54874,4.797208,3.102455,3.432688,3.79503,4.401975,4.903335,17.174594,3.364001,4.384038,3.382417,3.927569,33.585124,3.64424,55.286209,4.462096,3.732854,3.794971,20.67533,34.679601,12.01621,5.885971,6.09712
89.913595,62.738023,18.12697,29.525989,528.178578,18.12697,407.040988,766.602297,13.365956,9.415595,5.833686,18.12697,214.927838,18.41776,44.015436,27.108064,21.50099,16.558053,17.737205,580.129004,17.11998,602.723822,36.701318,27.510763,20.775297,137.545627,100.717207,276.05533,28.279563,7.067273
39.267825,28.882829,17.975795,14.763086,176.92796,17.975795,148.352441,276.825415,13.786317,4.279784,14.584087,17.975795,22.752725,17.995853,30.014342,12.069165,9.511241,16.533573,19.315148,94.529086,17.116573,244.182381,23.401532,17.114686,18.309935,86.04525,64.580133,126.190415,35.079192,26.86617
27.964083,16.34312,17.980559,6.431395,43.843708,17.980559,25.672522,98.465498,4.145973,4.889437,4.552916,17.980559,22.233064,8.771956,31.936356,2.840325,2.967121,12.558628,16.731572,16.83885,13.945631,73.162134,17.063195,16.176263,14.609624,26.507493,18.294731,109.700664,10.27555,3.285293
13.334695,6.944521,7.099581,5.273134,55.276749,7.099581,46.056254,64.605656,3.352889,4.936753,7.901901,7.099581,6.229926,6.360753,14.973988,7.987842,2.518164,5.448939,6.430852,44.958444,5.227612,75.197995,7.753361,4.789679,6.037394,11.011663,38.17279,36.359669,11.368143,2.220598
61.442898,16.132677,10.767638,3.44781,56.2115,10.767638,106.761703,103.862331,5.069697,4.719288,25.572055,10.767638,13.844071,8.84492,51.290802,3.899249,4.013381,6.53091,12.324966,51.208885,5.662153,72.215612,8.473938,6.160183,10.761538,27.005787,30.557087,25.772818,18.846098,4.695105
