LIN,S3_V1_D3,S3_V2_D1,S3_V10_D1,S3_V10_D4,S4_V7_D1,S4_V4_D3,S4_V9_D2,S4_V3_D1,S4_V9_D4
107.025743,1531.633249,52.149826,7686.402392,37.436536,74.0877,852.527945,57.114867,3938.274125,62.728272
302.733524,2399.568956,26.734939,6390.659354,29.077392,76.738995,1434.66986,20.698646,2977.335018,35.821422
9891.524237,14165.561367,5351.402073,21430.0631,2917.704154,7686.249478,12518.022977,2409.915769,8175.18902,5463.312182
1367.088867,4635.98017,636.927751,13130.610369,141.217448,81.254964,5284.919712,49.589385,5332.635734,749.730821
3451.981819,6943.321151,3137.754344,12471.021096,182.774732,990.163358,4900.318351,69.328286,5610.496171,1089.869653
6323.039386,7614.125946,2562.834809,17450.211278,1630.244972,1011.214303,8071.123885,485.501293,5234.025671,3747.044315
1440.017292,5084.765762,47.785971,12666.166313,43.859765,100.666832,5586.326749,29.445693,7925.330336,64.08459
19.495305,1210.277522,29.945728,4622.704478,25.365579,66.130397,326.631623,17.120545,2325.198068,30.208005
176.153299,2674.352625,21.374643,6873.822158,27.972681,36.414941,2265.393178,14.032443,4761.753496,57.628219
605.972977,6561.984763,319.288905,13134.079567,38.55397,239.957326,3138.239631,60.244648,2445.15873,637.416219
330.862512,1261.022904,29.911213,5066.057097,25.386811,34.504979,1104.389559,15.903315,2269.834971,54.629992
890.685628,3153.657517,301.474463,8595.435681,43.357825,398.04687,2569.216598,25.508403,2156.62343,527.714002
5515.133086,9429.426912,1118.052362,18327.533647,1107.385777,3605.998692,8506.245218,497.54147,11724.605447,1736.763113
3462.080969,8128.041708,1729.41452,13373.8291,906.032437,4160.134112,8042.876504,107.52156,8214.885897,1294.425426
45.106297,2691.939525,25.110714,7909.351432,34.339848,243.799566,1029.938162,23.92194,2415.862583,49.339351
3109.869432,7184.311221,567.661758,13037.386962,328.441221,1577.672714,6004.333265,256.744476,5449.585681,601.908757
180.078721,3046.652334,31.553323,11677.922313,35.901279,47.896519,5355.956361,194.558981,5729.309709,59.031295
2449.906594,6372.743452,55.628715,12072.365162,48.213569,1045.969638,6166.436278,115.39754,9199.224411,56.619171
48.767926,1794.162549,43.506663,5986.97156,48.879215,183.090897,1026.808741,34.319443,3740.536706,61.862891
2462.330969,4964.367338,2648.57636,11762.508617,631.621157,31.857798,6277.237999,33.760773,3146.751158,1941.168614
1306.316157,4759.221696,48.53804,13193.512024,43.330302,364.96365,4185.460171,320.7391,4999.746261,100.502317
24.538831,1629.694816,35.980042,7489.560143,32.675466,43.915286,2299.65983,45.062528,4705.332785,38.836532
4197.049399,8679.324693,641.724867,18064.020431,95.038404,457.734799,7290.321392,610.386035,11783.601467,1748.75899
550.428357,4078.802705,25.99609,8887.128027,28.210549,61.216802,3017.580831,39.316301,6421.33456,41.96774
435.646533,2133.911569,36.26664,11094.939254,42.570679,24.511478,1046.045174,19.264989,1476.629049,307.530429
6836.643554,8709.115581,3416.604295,18615.190454,1384.429506,2978.529577,9099.797142,1056.416785,10685.144052,3134.070438
42.626464,943.381668,38.263462,4472.609039,38.463452,142.081407,677.863763,40.16558,1605.746997,39.629404
2121.090508,6116.135837,852.905104,11084.504409,235.429411,151.818642,3984.081692,286.57496,6606.90349,994.157869
3376.352197,6437.198534,358.514972,15044.126485,119.325666,88.829704,8371.927135,36.842404,12867.877772,113.633695
439.772557,2753.72384,24.094474,9075.374629,35.62823,77.05905,3239.440604,38.974678,3083.936352,22.372304
