FCFS,WFP3,UNICEF,SPT,SAF,F2,LIN,NEW_3_1,NEW_3_2,NEW_3_3,NEW_3_4,NEW_3_5,MEM1,MEM2,SER_1
216.69077,49.531761,13.208368,4.89905,4.377521,7.640848,11.310277,13.826553,10.333015,16.154285,21.451217,9.078014,5.296537,5.589062,13.677628
43.644041,19.490885,8.57347,6.478648,3.063778,2.858227,3.406289,12.321631,10.982805,12.322794,7.397065,3.767167,2.887658,2.915323,3.648075
814.79413,87.202404,28.008382,51.613104,5.403726,3.144724,24.807159,235.38332,245.670189,238.608282,38.578256,13.208368,13.727771,14.725126,24.230061
275.484231,34.068233,10.52714,34.490003,2.554918,3.596395,15.64892,58.857093,97.179217,58.192186,30.636211,5.073689,9.150876,6.663273,16.248413
106.248173,12.469662,4.377391,8.074171,3.088163,3.229932,11.685649,17.238863,14.374979,46.133412,20.822043,7.29964,3.865734,5.229608,10.578375
77.984503,5.527635,8.569588,6.262436,2.484395,3.181378,5.011533,11.285657,18.736504,11.417823,7.439808,9.603622,15.538364,4.472092,5.482653
99.508343,10.276793,5.397297,6.684105,3.09273,2.859616,6.490392,20.140003,17.838002,21.279678,18.409701,5.454465,9.990088,3.825724,6.432641
607.379366,517.414959,123.846076,143.122204,20.632628,15.567533,217.224014,31.014868,74.385351,22.594777,18.329069,11.409006,289.87517,5.190049,184.610011
316.806956,83.567241,32.095165,48.12543,5.393363,5.200739,11.635956,110.946167,158.002665,51.856478,25.941153,9.416591,6.284362,5.661004,9.950576
871.535169,138.086934,39.097447,40.198762,11.383584,6.996593,6.932885,35.204155,33.474175,169.157869,41.79169,14.130211,12.164914,10.370721,16.454241
820.482548,97.064871,49.393387,62.917288,5.027776,3.32654,38.133182,83.13159,50.539958,170.870698,59.166298,5.914156,13.550639,4.334178,13.230577
90.452454,9.255939,3.481415,3.772509,2.008894,1.968676,2.303582,6.983821,9.242036,8.816598,9.710904,2.039956,2.284251,2.100334,2.462172
156.938693,45.250175,6.7867,9.21647,2.289654,1.996099,3.730643,8.4542,9.637678,9.716278,10.565362,3.077414,3.139838,2.956031,4.980639
291.09111,46.982852,21.711068,10.937918,5.658928,3.289838,8.121147,35.563501,31.187755,48.076573,29.617415,6.03196,6.184201,7.001167,12.462013
