LIN,S3_V3_D3,S3_V2_D1,SER_9_1,SER_6_3,MEM2,MEM1,SAF,F2
125.267919,102.367155,56.886578,63.637729,82.004745,77.739896,80.105936,117.278045,92.228503
9.659724,10.814343,8.339003,12.843343,13.718265,9.956908,11.995864,6.424469,10.780027
6.42545,5.910484,7.2327,6.624124,8.218243,6.908221,12.575087,7.518308,8.418686
20.450925,19.688353,18.828978,16.843631,20.892741,19.941871,27.500598,19.753267,18.266116
9.355626,6.893511,6.564467,8.946923,9.36116,4.980371,5.827028,9.54217,11.275771
96.330514,115.854292,109.557722,118.24522,111.125396,28.926287,27.134045,48.685363,83.992894
40.384034,49.005932,40.099515,95.167256,112.963585,39.210689,37.987752,23.841772,70.537051
31.005054,49.538124,47.145538,73.10947,87.983891,19.034741,27.128274,14.032862,17.021437
63.741123,104.105977,83.336844,97.374614,99.636641,81.595943,67.230318,62.974382,63.422339
32.62044,26.236956,33.570659,26.0252,33.376389,15.573272,24.865155,44.634883,30.471124
7.334787,15.223508,35.992034,46.562589,71.77931,6.936223,7.86865,6.616017,7.269731
112.511871,104.671134,35.654423,133.10466,195.054628,26.758017,39.557587,25.538886,34.935298
15.696512,35.843633,37.058241,37.074525,39.950014,22.258071,16.862555,11.191466,10.636074
37.186641,27.908374,35.089699,43.47718,41.969376,78.53034,66.360887,42.624403,21.519201
20.104546,8.391088,17.612139,14.706146,12.760987,15.94088,18.109259,25.783389,8.225189
65.419955,49.757999,36.800355,57.84786,62.795435,21.222036,19.632107,14.453198,62.328775
11.912448,47.285177,25.587847,46.130663,62.494977,14.259257,20.249408,10.793585,10.833017
